employee_id,first_name,last_name,email,phone,position,hire_date,salary,location_id,is_active,created_at,updated_at
27,Sergey,Novikov,employee27@rental.by,375294405721,Car Inspector,2022-04-08,1549.44,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
28,Sergey,Novikov,employee28@rental.by,375296835286,Support Agent,2021-11-28,1488.39,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
29,Andrey,Kuznetsov,employee29@rental.by,375293528892,Manager,2024-04-12,2771.39,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
30,Andrey,Semenov,employee30@rental.by,375294553811,Car Inspector,2021-01-02,1397.05,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
31,Andrey,Pavlov,employee31@rental.by,375291629560,Car Inspector,2021-10-03,1600.22,3,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
32,Tatiana,Ivanov,employee32@rental.by,375297811486,Rental Agent,2020-08-22,1229.48,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
33,Andrey,Semenov,employee33@rental.by,375291519860,Manager,2019-08-22,2277.55,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
34,Mikhail,Smirnov,employee34@rental.by,375295790977,Rental Agent,2020-02-11,1294.17,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
35,Andrey,Volkov,employee35@rental.by,375293363591,Manager,2022-03-16,2651.7,8,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
36,Mikhail,Ivanov,employee36@rental.by,375292964156,Support Agent,2020-07-04,1123.1,11,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
37,Anna,Novikov,employee37@rental.by,375291484792,Rental Agent,2024-07-15,1209.09,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
38,Alexander,Pavlov,employee38@rental.by,375294349385,Manager,2022-09-23,2527.9,4,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
39,Ivan,Smirnov,employee39@rental.by,375298285137,Car Inspector,2021-09-08,1799.52,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
40,Natalia,Semenov,employee40@rental.by,375297745510,Car Inspector,2020-03-22,1624.52,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
41,Olga,Novikov,employee41@rental.by,375296806667,Rental Agent,2021-08-19,1704.16,5,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
42,Mikhail,Volkov,employee42@rental.by,375298364902,Car Inspector,2020-12-06,1301.1,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
43,Olga,Kozlov,employee43@rental.by,375299420245,Support Agent,2023-10-12,1377.35,13,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
44,Ivan,Petrov,employee44@rental.by,375292212915,Support Agent,2021-02-26,1256.72,13,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
45,Anna,Volkov,employee45@rental.by,375292795936,Manager,2021-05-02,2656.48,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
46,Ivan,Petrov,employee46@rental.by,375294279347,Car Inspector,2024-02-05,1809.86,5,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
47,Elena,Smirnov,employee47@rental.by,375299273112,Car Inspector,2021-09-05,1523.55,15,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
48,Dmitry,Sidorov,employee48@rental.by,375295835835,Car Inspector,2019-06-17,1306.55,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
49,Dmitry,Novikov,employee49@rental.by,375296013812,Manager,2024-11-28,2117.99,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
50,Tatiana,Morozov,employee50@rental.by,375297413238,Support Agent,2024-06-26,1176.03,15,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
51,Anna,Smirnov,employee51@rental.by,375294553967,Manager,2024-10-08,2008.14,6,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
52,Mikhail,Novikov,employee52@rental.by,375292290708,Manager,2020-07-22,2633.72,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
53,Alexander,Ivanov,employee53@rental.by,375298874434,Car Inspector,2021-06-01,1694.72,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
54,Natalia,Petrov,employee54@rental.by,375291547138,Rental Agent,2024-05-17,1639.08,13,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
55,Ivan,Kuznetsov,employee55@rental.by,375295700017,Support Agent,2020-02-15,1346.65,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
56,Mikhail,Ivanov,employee56@rental.by,375297759448,Rental Agent,2019-06-26,1506.73,4,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
57,Tatiana,Smirnov,employee57@rental.by,375291559285,Rental Agent,2019-05-21,1237.37,6,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
58,Andrey,Kuznetsov,employee58@rental.by,375292348755,Manager,2024-05-06,2761.08,6,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
59,Elena,Volkov,employee59@rental.by,375297154041,Rental Agent,2022-02-07,1415.46,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
60,Maria,Volkov,employee60@rental.by,375297730093,Car Inspector,2022-07-01,1769.39,15,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
61,Anna,Novikov,employee61@rental.by,375294814031,Support Agent,2019-09-10,1305.6,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
62,Anna,Semenov,employee62@rental.by,375295759870,Support Agent,2019-10-13,1211.14,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
63,Dmitry,Ivanov,employee63@rental.by,375298905641,Car Inspector,2024-05-28,1396.61,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
64,Sergey,Ivanov,employee64@rental.by,375295886504,Manager,2024-11-05,2858.07,5,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
65,Andrey,Pavlov,employee65@rental.by,375293008862,Car Inspector,2024-02-20,1639.32,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
66,Elena,Sidorov,employee66@rental.by,375292549157,Rental Agent,2019-03-04,1493.4,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
67,Mikhail,Pavlov,employee67@rental.by,375299835984,Support Agent,2023-11-18,1258.77,11,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
68,Alexander,Semenov,employee68@rental.by,375295008484,Rental Agent,2022-11-16,1469.44,13,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
69,Ivan,Ivanov,employee69@rental.by,375296938179,Support Agent,2020-01-05,1102.72,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
70,Mikhail,Popov,employee70@rental.by,375292939495,Manager,2019-07-13,2435.81,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
71,Sergey,Sidorov,employee71@rental.by,375292386092,Rental Agent,2020-09-28,1518.52,3,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
72,Sergey,Pavlov,employee72@rental.by,375296970636,Car Inspector,2024-06-05,1373.71,11,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
73,Olga,Volkov,employee73@rental.by,375293684938,Manager,2021-06-22,2790.81,9,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
74,Andrey,Petrov,employee74@rental.by,375296255597,Support Agent,2020-05-26,1337.37,3,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
75,Elena,Smirnov,employee75@rental.by,375291840714,Car Inspector,2021-04-16,1672.85,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
76,Alexander,Kuznetsov,employee76@rental.by,375296833047,Manager,2021-11-10,2717.26,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
77,Dmitry,Pavlov,employee77@rental.by,375295034553,Rental Agent,2023-02-20,1304.08,1,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
78,Tatiana,Popov,employee78@rental.by,375291606231,Car Inspector,2024-04-03,1768.78,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
79,Elena,Volkov,employee79@rental.by,375295994760,Support Agent,2024-08-26,1423.82,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
80,Mikhail,Semenov,employee80@rental.by,375293369352,Car Inspector,2022-09-06,1380.98,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
