customer_id,first_name,last_name,email,phone,date_of_birth,driving_license,license_issue_date,license_expiry_date,address,city,registration_date,loyalty_level,created_at,updated_at
11,Anna,Kuznetsov,customer11@example.com,375295616316,1953-09-19,AB3938247,2020-11-14,2029-08-02,"Street 45, Apt 165",Bobruisk,2024-06-23,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
12,Anna,Sidorov,customer12@example.com,375296031294,1974-03-25,AB8944327,2013-04-10,2030-03-26,"Street 60, Apt 15",Polotsk,2023-07-18,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
13,Anna,Smirnov,customer13@example.com,375295278117,1963-06-21,AB2326581,2017-06-03,2029-12-27,"Street 25, Apt 14",Pinsk,2023-11-20,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
14,Alexander,Smirnov,customer14@example.com,375294640933,1980-04-28,AB6586214,2014-01-07,2026-12-04,"Street 96, Apt 194",Svetlogorsk,2021-12-20,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
15,Anna,Smirnov,customer15@example.com,375296395804,1999-05-13,AB8822384,2018-11-12,2027-05-12,"Street 66, Apt 128",Zhlobin,2020-12-16,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
16,Sergey,Popov,customer16@example.com,375296249960,1976-01-19,AB4712363,2021-03-01,2027-09-19,"Street 75, Apt 185",Slutsk,2022-03-07,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
17,Sergey,Volkov,customer17@example.com,375295122665,1981-09-21,AB6663388,2014-08-24,2030-12-16,"Street 59, Apt 44",Lida,2021-03-24,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
18,Dmitry,Novikov,customer18@example.com,375291985360,1983-01-27,AB2247057,2023-11-02,2025-07-05,"Street 81, Apt 60",Mogilev,2021-01-07,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
19,Mikhail,Ivanov,customer19@example.com,375299106820,1992-08-01,AB1110936,2018-09-14,2025-01-17,"Street 93, Apt 71",Polotsk,2022-01-17,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
20,Dmitry,Petrov,customer20@example.com,375292615878,1983-03-08,AB4220085,2019-09-09,2027-05-26,"Street 51, Apt 21",Lida,2023-08-19,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
21,Tatiana,Smirnov,customer21@example.com,375296032739,1993-02-21,AB1531577,2011-07-13,2028-09-16,"Street 8, Apt 164",Minsk,2021-02-16,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
22,Natalia,Popov,customer22@example.com,375292599906,1983-01-08,AB4546989,2023-12-19,2028-05-02,"Street 10, Apt 176",Pinsk,2024-10-22,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
23,Dmitry,Popov,customer23@example.com,375291262699,1963-10-05,AB7682298,2011-05-06,2029-04-19,"Street 50, Apt 174",Polotsk,2022-07-25,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
24,Tatiana,Semenov,customer24@example.com,375292315798,1982-12-12,AB1900876,2011-07-08,2025-06-20,"Street 99, Apt 158",Bobruisk,2022-01-21,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
25,Maria,Kozlov,customer25@example.com,375294827527,1972-09-13,AB8245206,2012-11-19,2030-07-03,"Street 99, Apt 159",Orsha,2021-12-03,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
26,Andrey,Sidorov,customer26@example.com,375297375341,1995-11-05,AB7536772,2015-06-04,2025-01-10,"Street 57, Apt 93",Pinsk,2020-03-03,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
27,Anna,Kozlov,customer27@example.com,375299597330,1976-02-01,AB2503554,2015-09-03,2029-10-26,"Street 42, Apt 99",Minsk,2022-07-13,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
28,Tatiana,Novikov,customer28@example.com,375295072543,1986-09-06,AB7387623,2012-03-09,2027-05-16,"Street 19, Apt 17",Brest,2023-05-14,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
29,Maria,Petrov,customer29@example.com,375297058670,1966-04-24,AB9318184,2019-10-07,2028-02-05,"Street 39, Apt 2",Bobruisk,2022-10-13,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
30,Maria,Popov,customer30@example.com,375298224541,2002-11-20,AB3283789,2014-06-20,2030-04-16,"Street 41, Apt 46",Bobruisk,2022-05-24,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
31,Olga,Smirnov,customer31@example.com,375296467463,1974-05-27,AB7592357,2015-02-19,2026-10-18,"Street 24, Apt 175",Polotsk,2020-12-15,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
32,Maria,Kuznetsov,customer32@example.com,375292160289,2002-07-22,AB9376917,2012-11-10,2026-05-22,"Street 20, Apt 184",Slutsk,2023-02-15,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
33,Olga,Volkov,customer33@example.com,375299965197,1982-12-14,AB1616817,2022-06-23,2029-10-21,"Street 11, Apt 28",Borisov,2022-03-21,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
34,Olga,Pavlov,customer34@example.com,375297704473,1998-06-26,AB8221845,2011-01-04,2027-04-17,"Street 96, Apt 133",Polotsk,2024-12-19,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
35,Maria,Popov,customer35@example.com,375297562142,1979-11-19,AB9396422,2012-06-01,2028-02-10,"Street 54, Apt 22",Vitebsk,2021-06-10,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
36,Maria,Smirnov,customer36@example.com,375299742856,1980-06-16,AB2637842,2017-12-23,2028-06-03,"Street 39, Apt 12",Vitebsk,2020-06-21,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
37,Natalia,Sidorov,customer37@example.com,375295092180,1983-03-18,AB3686631,2015-09-14,2028-04-26,"Street 52, Apt 162",Brest,2021-11-22,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
38,Anna,Ivanov,customer38@example.com,375294310554,1978-10-14,AB7523581,2010-12-07,2026-05-25,"Street 91, Apt 17",Novopolotsk,2020-09-06,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
39,Mikhail,Smirnov,customer39@example.com,375298676422,1957-05-22,AB9212178,2018-11-11,2029-07-20,"Street 51, Apt 151",Vitebsk,2022-06-28,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
40,Olga,Sidorov,customer40@example.com,375295990296,1989-10-03,AB3247270,2015-02-08,2027-02-06,"Street 48, Apt 178",Grodno,2024-07-14,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
41,Olga,Volkov,customer41@example.com,375298097413,1961-08-21,AB3906397,2018-03-16,2027-03-06,"Street 41, Apt 116",Gomel,2022-01-16,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
42,Sergey,Volkov,customer42@example.com,375299479842,1991-08-14,AB9249791,2016-12-27,2028-08-06,"Street 11, Apt 145",Minsk,2021-05-02,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
43,Sergey,Novikov,customer43@example.com,375295843084,1960-08-19,AB9309978,2018-09-04,2029-02-09,"Street 100, Apt 140",Lida,2024-01-25,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
44,Elena,Smirnov,customer44@example.com,375298132912,1956-12-27,AB5152891,2014-01-15,2027-06-28,"Street 12, Apt 113",Vitebsk,2021-04-26,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
45,Tatiana,Morozov,customer45@example.com,375298183451,1960-10-05,AB4466502,2023-04-26,2025-10-12,"Street 69, Apt 72",Polotsk,2021-06-23,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
46,Andrey,Morozov,customer46@example.com,375295485272,1982-11-27,AB2597613,2012-07-02,2027-11-05,"Street 90, Apt 34",Borisov,2021-12-11,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
47,Natalia,Volkov,customer47@example.com,375299211754,1959-10-21,AB5508325,2020-07-13,2028-02-21,"Street 99, Apt 24",Bobruisk,2024-12-09,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
48,Maria,Kozlov,customer48@example.com,375296491002,1987-01-28,AB2562657,2021-08-21,2030-12-12,"Street 9, Apt 137",Bobruisk,2021-07-27,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
49,Maria,Kuznetsov,customer49@example.com,375296416778,1968-06-18,AB3191007,2019-08-26,2027-11-25,"Street 7, Apt 12",Vitebsk,2023-01-04,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
50,Maria,Kozlov,customer50@example.com,375291011340,1977-04-23,AB3213134,2020-05-06,2027-02-21,"Street 47, Apt 65",Mogilev,2022-11-21,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
51,Ivan,Volkov,customer51@example.com,375296125594,1996-12-25,AB4928281,2016-11-03,2030-02-01,"Street 28, Apt 123",Mogilev,2021-10-08,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
52,Ivan,Ivanov,customer52@example.com,375296764217,2002-02-28,AB8085252,2021-03-16,2025-04-13,"Street 12, Apt 188",Vitebsk,2020-06-12,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
53,Dmitry,Volkov,customer53@example.com,375293233823,1991-11-05,AB2147756,2018-10-01,2029-11-06,"Street 57, Apt 90",Baranovichi,2021-07-20,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
54,Sergey,Petrov,customer54@example.com,375292685524,1958-02-19,AB7442986,2015-07-11,2026-04-09,"Street 83, Apt 22",Borisov,2024-10-20,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
55,Tatiana,Ivanov,customer55@example.com,375296060836,1963-09-20,AB9548370,2013-12-13,2027-11-02,"Street 31, Apt 127",Bobruisk,2020-04-16,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
56,Elena,Ivanov,customer56@example.com,375297058222,1970-03-13,AB8060918,2015-09-22,2026-08-25,"Street 10, Apt 5",Novopolotsk,2020-01-09,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
57,Ivan,Ivanov,customer57@example.com,375297676912,1982-05-21,AB9406206,2022-07-14,2030-07-03,"Street 82, Apt 138",Polotsk,2024-03-09,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
58,Andrey,Petrov,customer58@example.com,375299578269,1963-03-18,AB6481960,2016-10-21,2030-11-21,"Street 9, Apt 80",Slutsk,2021-01-08,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
59,Anna,Petrov,customer59@example.com,375298606317,1989-10-02,AB6189026,2020-12-22,2030-03-04,"Street 2, Apt 182",Grodno,2020-03-16,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
60,Elena,Novikov,customer60@example.com,375295349442,1960-06-05,AB5509119,2021-02-25,2025-06-26,"Street 55, Apt 70",Rechitsa,2020-05-23,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
61,Maria,Kozlov,customer61@example.com,375299569497,1973-01-16,AB3799805,2015-03-09,2025-10-22,"Street 93, Apt 30",Borisov,2024-01-02,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
62,Sergey,Ivanov,customer62@example.com,375298914896,1973-07-05,AB4002466,2023-01-18,2030-12-21,"Street 54, Apt 58",Molodechno,2021-07-24,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
63,Andrey,Petrov,customer63@example.com,375297254683,1957-09-22,AB1883692,2012-04-26,2029-01-13,"Street 9, Apt 120",Orsha,2022-06-03,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
64,Ivan,Popov,customer64@example.com,375294366703,1968-10-26,AB6098752,2021-10-08,2028-06-19,"Street 64, Apt 198",Baranovichi,2024-04-05,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
65,Anna,Ivanov,customer65@example.com,375294909053,1984-06-21,AB1160974,2015-01-25,2030-07-28,"Street 95, Apt 187",Orsha,2020-04-17,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
66,Anna,Kozlov,customer66@example.com,375292004872,1959-12-09,AB2560728,2010-04-28,2029-07-23,"Street 48, Apt 118",Mogilev,2024-02-17,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
67,Natalia,Volkov,customer67@example.com,375292255447,1987-10-02,AB8297801,2020-03-08,2027-05-28,"Street 41, Apt 101",Molodechno,2022-08-09,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
68,Alexander,Smirnov,customer68@example.com,375293283577,1999-10-04,AB3607356,2011-03-15,2028-06-14,"Street 16, Apt 138",Lida,2021-08-10,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
69,Andrey,Petrov,customer69@example.com,375292517010,1960-11-10,AB1676621,2013-06-05,2025-12-08,"Street 46, Apt 102",Rechitsa,2020-11-10,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
70,Dmitry,Ivanov,customer70@example.com,375297784575,1978-09-24,AB5191831,2011-08-04,2026-02-01,"Street 8, Apt 200",Borisov,2021-04-27,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
71,Mikhail,Pavlov,customer71@example.com,375292409947,1987-10-09,AB2258076,2010-02-07,2030-08-26,"Street 17, Apt 24",Molodechno,2020-01-15,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
72,Dmitry,Morozov,customer72@example.com,375298267158,2002-12-13,AB9323619,2010-07-22,2028-03-12,"Street 28, Apt 48",Pinsk,2022-08-05,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
73,Olga,Morozov,customer73@example.com,375295123584,1991-05-16,AB7912082,2018-08-02,2025-05-13,"Street 18, Apt 108",Baranovichi,2024-04-21,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
74,Anna,Semenov,customer74@example.com,375297024901,1980-09-26,AB9131572,2015-10-17,2027-07-09,"Street 24, Apt 7",Molodechno,2024-04-01,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
75,Ivan,Kozlov,customer75@example.com,375299882399,1972-10-08,AB3678059,2011-04-22,2026-05-18,"Street 95, Apt 15",Borisov,2024-07-12,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
76,Dmitry,Smirnov,customer76@example.com,375296335227,2001-12-23,AB7019382,2019-01-23,2030-06-19,"Street 73, Apt 37",Novopolotsk,2021-08-18,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
77,Dmitry,Kozlov,customer77@example.com,375291636925,1955-01-08,AB4671004,2010-09-16,2025-06-20,"Street 26, Apt 34",Molodechno,2021-06-02,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
78,Dmitry,Morozov,customer78@example.com,375293376537,1999-02-28,AB9829762,2023-06-03,2027-12-22,"Street 51, Apt 151",Vitebsk,2022-05-11,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
79,Dmitry,Semenov,customer79@example.com,375298329435,2000-11-16,AB6323132,2012-12-18,2030-10-26,"Street 46, Apt 58",Novopolotsk,2021-07-10,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
80,Dmitry,Sidorov,customer80@example.com,375291030163,1994-10-13,AB1543292,2012-10-11,2029-04-21,"Street 73, Apt 27",Svetlogorsk,2021-06-24,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
81,Sergey,Popov,customer81@example.com,375296360633,1960-11-03,AB6632941,2017-01-09,2026-04-23,"Street 9, Apt 90",Pinsk,2020-12-01,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
82,Anna,Kozlov,customer82@example.com,375298040612,1960-07-16,AB7353742,2015-09-13,2025-08-26,"Street 74, Apt 167",Borisov,2021-08-03,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
83,Andrey,Ivanov,customer83@example.com,375296347182,1966-02-03,AB6734590,2012-07-06,2030-02-18,"Street 12, Apt 87",Svetlogorsk,2020-07-21,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
84,Olga,Volkov,customer84@example.com,375293635764,1953-02-11,AB4448564,2013-07-23,2029-12-24,"Street 70, Apt 68",Orsha,2022-04-04,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
85,Anna,Morozov,customer85@example.com,375299236745,1959-01-12,AB1064014,2016-02-10,2030-11-20,"Street 62, Apt 52",Vitebsk,2020-04-06,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
86,Alexander,Kozlov,customer86@example.com,375292937918,1969-07-16,AB9205682,2020-05-03,2030-09-13,"Street 24, Apt 95",Bobruisk,2022-03-15,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
87,Andrey,Kozlov,customer87@example.com,375298802377,1966-04-27,AB5505722,2019-01-05,2030-11-04,"Street 11, Apt 172",Lida,2024-07-25,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
88,Elena,Ivanov,customer88@example.com,375297494562,2002-09-14,AB9984440,2020-08-19,2026-08-10,"Street 11, Apt 102",Gomel,2024-10-17,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
89,Alexander,Kozlov,customer89@example.com,375293900427,1960-04-26,AB4233407,2012-01-14,2025-11-14,"Street 26, Apt 161",Grodno,2024-05-11,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
90,Alexander,Volkov,customer90@example.com,375297666510,1985-06-28,AB5633880,2018-08-28,2025-12-20,"Street 76, Apt 134",Slutsk,2020-07-05,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
91,Olga,Morozov,customer91@example.com,375292681144,1956-10-25,AB2694338,2022-05-28,2029-06-14,"Street 34, Apt 99",Svetlogorsk,2024-10-16,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
92,Dmitry,Kuznetsov,customer92@example.com,375297760781,1959-10-20,AB7739741,2010-07-11,2030-04-02,"Street 96, Apt 122",Pinsk,2022-01-11,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
93,Andrey,Kuznetsov,customer93@example.com,375299248001,1994-11-04,AB4824490,2012-05-24,2028-06-09,"Street 94, Apt 107",Mogilev,2021-08-07,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
94,Tatiana,Kozlov,customer94@example.com,375299665455,1973-01-17,AB3667115,2011-05-23,2029-07-05,"Street 100, Apt 135",Novopolotsk,2020-03-07,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
95,Ivan,Smirnov,customer95@example.com,375291554840,1979-01-12,AB4340507,2014-06-27,2028-09-13,"Street 82, Apt 32",Minsk,2021-06-16,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
96,Dmitry,Kozlov,customer96@example.com,375296867997,1972-03-27,AB5339593,2021-12-03,2027-01-13,"Street 7, Apt 42",Novopolotsk,2021-04-21,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
97,Natalia,Smirnov,customer97@example.com,375295514473,1991-07-17,AB1336422,2023-11-01,2028-03-21,"Street 23, Apt 154",Minsk,2021-05-20,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
98,Tatiana,Semenov,customer98@example.com,375295620085,1977-07-28,AB6850369,2017-05-07,2028-05-22,"Street 67, Apt 160",Bobruisk,2024-02-01,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
99,Elena,Pavlov,customer99@example.com,375295742531,1969-11-04,AB9082229,2011-06-09,2030-06-28,"Street 36, Apt 67",Orsha,2021-03-17,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
100,Ivan,Morozov,customer100@example.com,375297779646,1992-06-22,AB3347627,2021-01-21,2028-05-09,"Street 54, Apt 104",Bobruisk,2020-10-23,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
101,Mikhail,Semenov,customer101@example.com,375294730635,1993-09-21,AB8981512,2020-06-17,2027-03-27,"Street 85, Apt 143",Brest,2022-02-16,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
102,Tatiana,Kuznetsov,customer102@example.com,375294071377,1993-06-21,AB2498202,2013-06-08,2030-05-14,"Street 43, Apt 96",Pinsk,2024-05-15,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
103,Maria,Ivanov,customer103@example.com,375292194801,1980-04-17,AB3010177,2023-11-13,2029-05-14,"Street 7, Apt 39",Grodno,2021-06-14,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
104,Dmitry,Popov,customer104@example.com,375294025884,1999-02-16,AB6580596,2020-03-11,2030-01-01,"Street 58, Apt 71",Baranovichi,2021-10-25,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
105,Maria,Petrov,customer105@example.com,375293171071,1989-07-21,AB8204299,2016-07-16,2028-01-02,"Street 69, Apt 52",Lida,2020-06-25,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
106,Ivan,Pavlov,customer106@example.com,375291069186,1990-12-08,AB4796108,2021-06-10,2026-02-13,"Street 65, Apt 151",Orsha,2021-02-27,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
107,Andrey,Kuznetsov,customer107@example.com,375298649174,1996-09-20,AB9793234,2015-07-22,2026-06-16,"Street 46, Apt 193",Baranovichi,2021-07-01,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
108,Sergey,Semenov,customer108@example.com,375293201267,1963-12-01,AB9466346,2012-02-12,2030-11-26,"Street 5, Apt 97",Pinsk,2024-10-02,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
109,Natalia,Petrov,customer109@example.com,375291331211,1953-12-04,AB7992333,2017-07-04,2029-05-16,"Street 90, Apt 40",Baranovichi,2020-05-14,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
110,Natalia,Novikov,customer110@example.com,375295529464,1989-10-23,AB3301222,2016-02-17,2030-10-04,"Street 37, Apt 30",Vitebsk,2023-04-20,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
111,Andrey,Novikov,customer111@example.com,375294383514,1972-12-14,AB5955170,2012-01-18,2028-04-23,"Street 62, Apt 85",Borisov,2020-01-22,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
112,Alexander,Morozov,customer112@example.com,375299289690,1959-02-25,AB9584991,2011-12-24,2025-05-21,"Street 30, Apt 117",Orsha,2022-08-02,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
113,Dmitry,Ivanov,customer113@example.com,375295874908,1973-11-11,AB8147013,2021-02-04,2025-01-28,"Street 18, Apt 170",Brest,2022-06-15,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
114,Tatiana,Petrov,customer114@example.com,375297251562,2002-06-06,AB2909784,2016-07-15,2027-07-23,"Street 62, Apt 108",Brest,2020-03-23,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
115,Dmitry,Petrov,customer115@example.com,375297979786,1987-08-26,AB8351152,2012-10-13,2027-10-01,"Street 88, Apt 187",Grodno,2023-08-04,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
116,Maria,Ivanov,customer116@example.com,375292062602,1966-11-11,AB1207369,2021-11-17,2030-10-24,"Street 73, Apt 58",Molodechno,2024-09-23,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
117,Anna,Pavlov,customer117@example.com,375295170429,1980-06-22,AB7457158,2012-09-20,2025-01-21,"Street 21, Apt 130",Svetlogorsk,2023-03-03,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
118,Mikhail,Smirnov,customer118@example.com,375296551494,1967-01-17,AB4736395,2018-11-13,2028-04-03,"Street 59, Apt 114",Novopolotsk,2023-02-28,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
119,Maria,Popov,customer119@example.com,375292991570,1981-12-21,AB1298116,2011-07-14,2025-09-18,"Street 1, Apt 24",Orsha,2024-09-07,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
120,Mikhail,Popov,customer120@example.com,375291910586,2002-04-28,AB8624573,2015-09-25,2029-10-16,"Street 92, Apt 169",Lida,2023-02-04,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
121,Ivan,Popov,customer121@example.com,375296958243,1990-05-18,AB9757456,2015-12-04,2025-03-16,"Street 18, Apt 184",Slutsk,2020-05-20,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
